Place	Team	Player 1	Player 2	Player 3	HCP	Game 1	Game 2	Game 3	Scratch Series	HCP Series
1	3 Sandys & A Mackem	Gavin Dorothy	Kirstie Allison	Megan Johnson	450	529	540	505	1574	2024
2	J.O.K.E'S On You	Emily Rogers	Olivia Rogers 2	Jayden Hartley 2	354	565	552	520	1637	1991
3	Big Bear Bolts	Lee Brown	Dave Hockney	Gary Jeans	117	640	633	593	1866	1983
4	Whoop Whoop	Kirk Avison	James Houltby	Danny Langley	162	622	627	550	1799	1961
5	Irritable Bowl Syndrome	Martin Smith	Jon Keating	Blake Smith	231	563	590	550	1703	1934
6	Golden Oldies	Gary Baker	Geoff Brown	Diane Johnson	270	511	636	495	1642	1912
7	Mcwillys Army	James White	James Mcwilliam	Ben Scott-Hibbert	171	599	542	597	1738	1909
8	Troopers	Lee Fraser	Matt Hart	Daniel Kelly	339	483	539	532	1554	1893
9	Tori'S Terrors	Tori Pickles	Connall Mair	Adam Harrision	252	457	613	567	1637	1889
10	Toby'S Minions	Oliver Villegas	Toby Lomax	Jerald Villegas	333	489	521	545	1555	1888
11	Degeneration	John Lawless	Alfie Bowdery	Zach Brear	333	521	523	503	1547	1880
12	Wilson'S Anchors	Chris Green	Erick Lee	Kelly Stretton	174	528	622	544	1694	1868
13	Bipolar Rollers	Jolan Byrom	Ashton Byrom	Charlie Bliss	405	457	473	508	1438	1843
14	Yorkshire Ladies Blue	Carole Orange	Katie Jowsey	Carol Rowley	330	532	514	461	1507	1837
15	Sponsored Toms Glass Back	Terri-Anne Kay	Jamie Denison	Ryan Cunningham	219	509	487	615	1611	1830
16	Take It Teezy	Phil Tweddle	Kathryn Davey	Paul Kitchener	495	435	440	435	1310	1805
17	Huddersfield Hornets	Sinead Naven	Amelia Naven	Archie Knox	777	306	363	348	1017	1794
18	4Kh	Lee Knaggs	Ken Wray	Jon Adams	252	475	523	528	1526	1778
19	The Pin Pricks	Jimmy Neal	William Sung	Paul Edmondson	216	518	514	529	1561	1777
20	Hull Vikings	Neil Hardy	Adie Martin	Joanne Oliver	282	475	458	524	1457	1739
21	Old Men Rising	Dave Webb	Richard Dembizky	Clive Wilson	435	390	441	469	1300	1735
22	Yorkshire Ladies White	Ana Marr	Caryn Lomax	Olivia Rogers 1	429	379	491	432	1302	1731
